SalesOrderID;OrderDate;Status;OnlineOrderFlag;CustomerID;SalesPersonID;TerritoryID;CurrencyRateID;ModifiedDate;ShipMethodID
43659;2011-05-31 00:00:00;5;False;29825;279;5;;2011-06-07 00:00:00;5
43660;2011-05-31 00:00:00;5;False;29672;279;5;;2011-06-07 00:00:00;5
43661;2011-05-31 00:00:00;5;False;29734;282;6;4;2011-06-07 00:00:00;5
43662;2011-05-31 00:00:00;5;False;29994;282;6;4;2011-06-07 00:00:00;5
43663;2011-05-31 00:00:00;5;False;29565;276;4;;2011-06-07 00:00:00;5
43664;2011-05-31 00:00:00;5;False;29898;280;1;;2011-06-07 00:00:00;5
43665;2011-05-31 00:00:00;5;False;29580;283;1;;2011-06-07 00:00:00;5
43666;2011-05-31 00:00:00;5;False;30052;276;4;;2011-06-07 00:00:00;5
43667;2011-05-31 00:00:00;5;False;29974;277;3;;2011-06-07 00:00:00;5
43668;2011-05-31 00:00:00;5;False;29614;282;6;4;2011-06-07 00:00:00;5
43669;2011-05-31 00:00:00;5;False;29747;283;1;;2011-06-07 00:00:00;5
43670;2011-05-31 00:00:00;5;False;29566;275;3;;2011-06-07 00:00:00;5
43671;2011-05-31 00:00:00;5;False;29890;283;1;;2011-06-07 00:00:00;5
43672;2011-05-31 00:00:00;5;False;30067;282;6;4;2011-06-07 00:00:00;5
43673;2011-05-31 00:00:00;5;False;29844;275;2;;2011-06-07 00:00:00;5
43674;2011-05-31 00:00:00;5;False;29596;282;6;4;2011-06-07 00:00:00;5
43675;2011-05-31 00:00:00;5;False;29827;277;3;;2011-06-07 00:00:00;5
43676;2011-05-31 00:00:00;5;False;29811;275;5;;2011-06-07 00:00:00;5
43677;2011-05-31 00:00:00;5;False;29824;278;6;4;2011-06-07 00:00:00;5
43678;2011-05-31 00:00:00;5;False;29889;281;4;;2011-06-07 00:00:00;5
43679;2011-05-31 00:00:00;5;False;29761;278;6;4;2011-06-07 00:00:00;5
43680;2011-05-31 00:00:00;5;False;29489;281;4;;2011-06-07 00:00:00;5
43681;2011-05-31 00:00:00;5;False;29661;279;5;;2011-06-07 00:00:00;5
43682;2011-05-31 00:00:00;5;False;29759;275;2;;2011-06-07 00:00:00;5
43683;2011-05-31 00:00:00;5;False;29497;283;1;;2011-06-07 00:00:00;5
43684;2011-05-31 00:00:00;5;False;29912;279;5;;2011-06-07 00:00:00;5
43685;2011-05-31 00:00:00;5;False;30084;279;5;;2011-06-07 00:00:00;5
43686;2011-05-31 00:00:00;5;False;29606;283;1;;2011-06-07 00:00:00;5
43687;2011-05-31 00:00:00;5;False;29610;275;2;;2011-06-07 00:00:00;5
43688;2011-05-31 00:00:00;5;False;29718;275;2;;2011-06-07 00:00:00;5
43689;2011-05-31 00:00:00;5;False;29646;277;4;;2011-06-07 00:00:00;5
43690;2011-05-31 00:00:00;5;False;29533;275;3;;2011-06-07 00:00:00;5
43691;2011-05-31 00:00:00;5;False;29570;277;4;;2011-06-07 00:00:00;5
43692;2011-05-31 00:00:00;5;False;29992;281;4;;2011-06-07 00:00:00;5
43693;2011-05-31 00:00:00;5;False;29491;275;5;;2011-06-07 00:00:00;5
43694;2011-05-31 00:00:00;5;False;29549;279;5;;2011-06-07 00:00:00;5
43695;2011-05-31 00:00:00;5;False;29958;279;5;;2011-06-07 00:00:00;5
43696;2011-05-31 00:00:00;5;False;29849;279;5;;2011-06-07 00:00:00;5
43697;2011-05-31 00:00:00;5;True;21768;;6;4;2011-06-07 00:00:00;1
43698;2011-05-31 00:00:00;5;True;28389;;7;8;2011-06-07 00:00:00;1
43699;2011-05-31 00:00:00;5;True;25863;;1;;2011-06-07 00:00:00;1
43700;2011-05-31 00:00:00;5;True;14501;;4;;2011-06-07 00:00:00;1
43701;2011-05-31 00:00:00;5;True;11003;;9;2;2011-06-07 00:00:00;1
43702;2011-06-01 00:00:00;5;True;27645;;4;;2011-06-08 00:00:00;1
